Frame,CS6_B5_nnv_ROI1,CS6_B5_nnv_ROI2,CS6_B5_nnv_ROI3,CS6_B5_nnv_ROI4,CS6_B5_nnv_ROI5,CS6_B5_nnv_ROI6,CS6_B5_nnv_ROI7,CS6_B5_nnv_ROI8,CS6_B5_nnv_ROI9,CS6_B5_nnv_ROI10,CS6_B5_nnv_ROI11,CS6_B5_nnv_ROI12,CS6_B5_nnv_ROI13,CS6_B5_nnv_ROI14,CS6_B5_nnv_ROI15,CS6_B5_nnv_ROI16,CS6_B5_nnv_ROI17,CS6_B5_nnv_ROI18,CS6_B5_nnv_ROI19,CS6_B5_nnv_ROI20,CS6_B5_nnv_ROI21,CS6_B5_nnv_ROI22,CS6_B5_nnv_ROI23,CS6_B5_nnv_ROI24,CS6_B5_nnv_ROI25,CS6_B5_nnv_ROI26,CS6_B5_nnv_ROI27,CS6_B5_nnv_ROI28,CS6_B5_nnv_ROI29,CS6_B5_nnv_ROI30,CS6_B5_nnv_ROI31,CS6_B5_nnv_ROI32,CS6_B5_nnv_ROI33,CS6_B5_nnv_ROI34,CS6_B5_nnv_ROI35,CS6_B5_nnv_ROI36,CS6_B5_nnv_ROI37,CS6_B5_nnv_ROI38,CS6_B5_nnv_ROI39,CS6_B5_nnv_ROI40,CS6_B5_nnv_ROI41,CS6_B5_nnv_ROI42,CS6_B5_nnv_ROI43,CS6_B5_nnv_ROI44,CS6_B5_nnv_ROI45,CS6_B5_nnv_ROI46,CS6_B5_nnv_ROI47,CS6_B5_nnv_ROI48,CS6_B5_nnv_ROI49,CS6_B5_nnv_ROI50,CS6_B5_nnv_ROI51,CS6_B5_nnv_ROI52,CS6_B5_nnv_ROI53,CS6_B5_nnv_ROI54,CS6_B5_nnv_ROI55,CS6_B5_nnv_ROI56,CS6_B5_nnv_ROI57,CS6_B5_nnv_ROI58,CS6_B5_nnv_ROI59,CS6_B5_nnv_ROI60,CS6_B5_nnv_ROI61,CS6_B5_nnv_ROI62,CS6_B5_nnv_ROI63,CS6_B5_nnv_ROI64,CS6_B5_nnv_ROI65,CS6_B5_nnv_ROI66,CS6_B5_nnv_ROI67,CS6_B5_nnv_ROI68,CS6_B5_nnv_ROI69,CS6_B5_nnv_ROI70,CS6_B5_nnv_ROI71,CS6_B5_nnv_ROI72
21,49.417,192.706,248.8,140.545,192.25,160.792,229.143,165.571,221.875,60.9,74.971,27,243,61.226,62.2,242.818,222.484,67.833,170.323,255,231.833,239.214,236.097,255,237.1,251.625,248.324,255,217.7,102.5,151.727,220.625,255,167.875,167.357,233.455,252,195.75,37.617,20.81,237.29,39.321,195,243.375,171.6,169.625,233.875,234.375,174.812,182.778,65.762,77.164,43.115,255,234.812,158.227,37.792,175.656,99.189,28.885,122.833,192.386,144.771,27.565,46.15,173.656,10.768,58.5,146.577,71.762,135.125,91.054
22,51.583,187.941,248.55,139.727,183.875,151.542,229.679,172.286,221.417,60.35,73.441,39.455,244.382,61.677,45,241.909,221.065,66.667,169.613,255,228.875,241.714,236.452,255,237.1,252.688,245.647,255,221.1,99,151.636,221.625,255,166.875,167.786,235.727,248.727,188.75,38.702,22.155,236.419,45.286,193.143,241.625,171.1,170.75,235.25,232.625,174.688,173.667,61.5,76.721,45.692,255,237.031,157.591,40.458,178.562,98.459,28.923,123.167,190.773,140.917,25.348,46.8,169.766,10.805,69.2,144.308,75.119,134.438,93.125
23,50.25,190.706,248.85,141.909,184,157.917,230.607,169.286,219.958,58.05,77.382,36.364,242.441,65.71,51.4,241.182,222.129,67.333,169.323,255,230.542,241.286,236.871,255,237.3,253.938,245.353,255,221.2,94.5,148.455,221.854,255,169.562,168.357,233,248.455,191.875,39.064,20.655,238.258,40.143,194.786,238.875,173.1,170.188,230.625,233.25,177.688,173.778,58.405,77.18,43.808,254.45,237.5,158.523,40.583,179.188,96.757,28.731,124.5,194.591,143.542,22.217,50.7,171.875,8.915,57.15,145.692,75.321,136.438,93.143
24,56.25,191.706,250.05,145.636,189,155.542,229.893,173.5,216.833,66.55,72.853,37.182,241.941,60.129,50.4,245.273,220.452,65.25,168.806,255,233.333,243.643,237.387,255,236.75,254.25,245.647,255,227,99.25,151.818,223.583,255,166.062,168.571,232.091,248.636,198.875,38.66,21.448,235.355,41.321,188.429,243.75,178,173.469,234,230.75,170.75,176.889,64.238,73.426,46.192,255,234.125,156.205,37.208,177.438,99.892,26.885,116.667,191.386,138.979,23.696,45.4,170,11.049,61.65,144.5,75.571,132.25,93.768
25,50.167,190,251.3,146.091,185.5,156.833,230.607,163.643,215.292,68.25,70.088,42.909,241.029,61.226,51,242.818,224.29,66.417,164.194,255,230.833,239.429,238.548,255,236.15,254.062,246.235,255,216.3,100.625,146.818,222.229,255,166.875,173.071,231.909,249.091,190.75,37.021,22.052,236.419,48.036,188.929,238.375,174.4,171.125,234.375,238.375,175.375,174.444,64.571,76.361,42.154,255,234.875,158.295,38.542,178.219,97.811,29.462,113.667,194.75,140.771,25.391,50.85,168.922,9.439,62.85,143.385,73.619,137.688,91.589
26,54.417,189.235,248.65,141.636,182.125,157.042,232.786,169.714,214.875,61.2,72.912,32.545,243.265,60.484,66,239.273,225.71,69.417,171.677,255,234.25,237.643,238.548,255,236.1,253,247.676,255,224.2,95.25,146.727,220.604,255,170.5,166.5,235,249.182,192.5,40.979,21.586,233.839,47.679,196.214,239.75,167.6,172.812,234.125,235.5,171.688,179,61.69,73.393,47,255,235,154.318,46.875,177.875,95.676,32.538,129.167,194.75,141.188,22.826,46.8,169.969,11.171,63.2,145.731,72.905,133.875,97.054
27,47.583,191.882,251.7,137.273,183.625,158.667,229.429,168.786,216.333,62.95,78.265,26.727,242.441,60.839,61.4,244.182,223.323,67.833,165.71,255,228.875,240,237.323,255,238.4,251.562,245.235,255,216.6,99,145.727,219.208,255,169.562,165.571,233.182,248.818,183.375,38.766,22.138,236.774,47.357,197,241.875,170.6,173.25,235.75,235.625,172.438,172,63.119,75.262,45.538,255,233.938,158.636,42.25,177.219,97.865,29.846,125.167,194.841,139.812,21.913,47.95,172.203,12.841,56.8,144.846,74.774,138.688,93.054
28,47.917,188.824,251.15,140.455,184.625,159.25,230.286,165.857,216.458,61.1,82.735,29.909,243.029,59.903,54,238.909,221.032,69.833,166.355,255,230.292,244.429,237.677,255,236.45,254.375,245.676,255,221.2,93.75,151.455,222.604,255,169.125,164.429,235.909,247,197.375,40.681,20.776,235.839,45.893,191.214,245,168.6,166.812,232.875,234.625,170.062,172,62.952,76.918,45.192,253.15,235.594,156.159,33.792,179.25,96.135,30.308,125.167,193.273,140.583,26.348,51.5,172.328,9.476,65.7,144.5,70.988,138.438,89.607
29,45.25,195.176,248.45,147.545,181,158.167,232.571,175,213.75,59.05,75.235,34.545,242.235,60.161,51.2,243.273,222.387,63.833,168.871,255,231.208,240.643,237.097,255,235.15,253.062,246.412,250.75,218.3,103.375,148.909,218.312,255,168.062,166.214,235.636,246.364,188.375,38.426,20.862,236.161,41.321,191.643,239.75,175.5,172.375,240.375,238,168.5,173.333,61.905,73.689,46.231,255,236.156,158.568,39.833,172.719,98.973,26.423,116.167,192.727,143.375,23.435,53.85,173.797,10.988,62.65,141.923,73.143,139.875,93.571
30,41.583,184.412,249.55,146.091,182.5,155.708,231.536,166.357,219.708,63.9,78.147,34.545,243.706,62.161,54.6,245,223.129,72,168.065,255,230.208,243,239.387,255,235.1,254,247.029,254.5,215.2,94,152.273,219.292,255,166.438,166.786,237.818,243.364,195.375,37.766,24.638,235.097,44.25,192.143,243.875,173.2,172.188,231.375,240.375,174.625,172,61.476,72.738,47.154,254.45,235.969,155.932,37.667,175.656,98.486,25.731,128.667,192.545,140.917,25.826,51.1,171.641,9.171,63.85,144.615,71.905,140.375,92.482
31,44,188.647,250.2,141,187.875,156.958,230.607,168.714,217.417,60.75,74.853,40.273,241.294,62.548,56.2,240.364,221.387,65.417,168.71,255,231.708,242.286,238.742,255,234.75,253.562,244.294,253,223.6,100.375,158.091,218.917,255,168.25,164.714,233.455,246,195.625,37.489,23.586,237.871,42.857,197.071,239.125,177,170.781,230.375,234.625,170.438,177,57.595,75.148,45.423,254.5,233.625,157.432,41.708,173.094,99.378,30.154,127.333,191.432,140.104,31,46.2,170.641,9.39,62.5,142.269,72.179,137.688,93.196
32,51.083,187.588,247.6,144,179.375,158.25,230,171.429,221.208,61.05,74.265,31.455,240.853,64.226,51.6,244.455,222.548,74.5,170.774,255,232.208,240.5,236.419,255,236.45,251.438,245.588,253.5,222.1,91.125,148.545,221.083,255,167.688,163.571,232.727,251.455,186.625,38.596,21.914,239.323,46.214,195.071,235.875,172.5,170.125,237.875,231.625,167.812,176.444,61.714,76.377,43.269,255,236.219,156.5,38.25,170.906,98.108,28.538,121.167,193.614,143.708,21.783,48.9,172.281,10.39,60.2,142.231,75.274,134,91.268
33,43.5,192.647,248.8,142.727,187.625,155.708,231.714,172.214,211.917,61.05,76.235,33.909,243.324,60.806,58.2,243.182,223.097,71,169.871,255,232.958,240.357,236.065,255,236.6,253.562,245.647,249.5,223.7,96.125,149.545,220.979,255,167.75,167.357,234.636,247.364,191.375,41.404,22.241,239.032,44.179,191.5,238.375,168.4,172.812,237,236.875,169.5,170.444,62.024,77.311,45.462,255,233.625,157.909,40.125,177.719,100.027,27.769,125,192.955,141.125,26.565,53.15,170.438,9.659,65.8,143.846,74.143,135.875,91.161
34,47.167,196.176,247.15,141.727,182.25,158,228.679,176.071,215.75,54.6,74.412,34.091,241.765,62.645,52,240.273,222.839,63.083,164.839,255,232.125,240.071,236.194,255,236.45,252.75,245.265,254.25,221,107.25,143.182,219.604,255,170.875,168.071,232.909,248.545,190.625,37.021,24.207,234,41.214,192.429,242.625,171.7,171.625,233.5,234.125,168.625,176.667,63.214,77.59,44.615,253.7,235.25,155.909,41.792,174.438,98.351,30.192,119,191.523,145.354,18,49.8,169.812,11.378,64.1,139.154,70.845,134.438,93.911
